Parameter,Date,Value,Ticker,Company,Type,Finacial Type,Created Date
Revenue,2019-12-31,280522.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2018-12-31,232887.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2017-12-31,177866.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2016-12-31,135987.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2015-12-31,107006.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2014-12-31,88988.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2013-12-31,74452.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2012-12-31,61093.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2011-12-31,48077.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2010-12-31,34204.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2009-12-31,24509.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2008-12-31,19166.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2007-12-31,14835.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2006-12-31,10711.00000,AMZN,amezon,financial-ration,Q,05-29-20
Revenue,2005-12-31,8490.00000,AMZN,amezon,financial-ration,Q,05-29-20
Cost Of Goods Sold,2019-12-31,165536.00000,AMZN,amezon,financial-ration,Q,05-29-20
Cost Of Goods Sold,2018-12-31,139156.00000,AMZN,amezon,financial-ration,Q,05-29-20
Cost Of Goods Sold,2017-12-31,111934.00000,AMZN,amezon,financial-ration,Q,05-29-20
Cost Of Goods Sold,2016-12-31,88265.00000,AMZN,amezon,financial-ration,Q,05-29-20
Cost Of Goods Sold,2015-12-31,71651.00000,AMZN,amezon,financial-ration,Q,05-29-20
Cost Of Goods Sold,2014-12-31,62752.00000,AMZN,amezon,financial-ration,Q,05-29-20
Cost Of Goods Sold,2013-12-31,54181.00000,AMZN,amezon,financial-ration,Q,05-29-20
