Parameter,Date,Value,Ticker,Company,Type,Finacial Type,Created Date
Revenue,2019-12-31,161857.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2018-12-31,136819.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2017-12-31,110855.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2016-12-31,90272.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2015-12-31,74989.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2014-12-31,66001.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2013-12-31,55519.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2012-12-31,46039.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2011-12-31,37905.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2010-12-31,29321.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2009-12-31,23651.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2008-12-31,21796.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2007-12-31,16593.99000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2006-12-31,10604.92000,GOOGL,alphabet,financial-ration,Q,05-29-20
Revenue,2005-12-31,6138.56000,GOOGL,alphabet,financial-ration,Q,05-29-20
Cost Of Goods Sold,2019-12-31,71896.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Cost Of Goods Sold,2018-12-31,59549.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Cost Of Goods Sold,2017-12-31,45583.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Cost Of Goods Sold,2016-12-31,35138.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Cost Of Goods Sold,2015-12-31,28164.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Cost Of Goods Sold,2014-12-31,25691.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Cost Of Goods Sold,2013-12-31,21993.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
Cost Of Goods Sold,2012-12-31,17176.00000,GOOGL,alphabet,financial-ration,Q,05-29-20
