Parameter,Date,Value,Ticker,Company,Type,Finacial Type,Created Date
Revenue,2019-12-31,142422.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2018-12-31,130070.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2017-12-31,114579.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2016-12-31,106387.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2015-12-31,101006.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2014-12-31,103009.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2013-12-31,106717.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2012-12-31,108074.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2011-12-31,110838.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2010-12-31,115475.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2009-12-31,115632.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2008-12-31,101491.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2007-12-31,116353.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2006-12-31,99864.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Revenue,2005-12-31,79768.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2019-12-31,26795.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2018-12-31,21041.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2017-12-31,13874.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2016-12-31,9818.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2015-12-31,7463.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2014-12-31,7897.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2013-12-31,9350.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2012-12-31,11043.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2011-12-31,13604.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2010-12-31,12781.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2009-12-31,15198.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2008-12-31,34239.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2007-12-31,44981.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2006-12-31,37865.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Cost Of Goods Sold,2005-12-31,25520.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Gross Profit,2019-12-31,115627.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
Gross Profit,2018-12-31,109029.00000,JPM,jpmorgan,financial-ration,Q,05-29-20
